fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-25
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
funkymail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
fraekkert.dk;smtp.jubii.dk:465;%EMAILADDRESS%
gmx.es;mail.gmx.com:465,mail.gmx.com:587;%EMAILADDRESS%
gason.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
gmx.it;mail.gmx.com:465,mail.gmx.com:587;%EMAILADDRESS%
gmx.at;mail.gmx.net:465,mail.gmx.net:587;%EMAILADDRESS%
gmx.org;mail.gmx.net:465,mail.gmx.net:587;%EMAILADDRESS%
groovymail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
gmx.co.in;mail.gmx.com:465,mail.gmx.com:587;%EMAILADDRESS%
hotmail.ca;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
gransy.com;smtp.gransy.com:465,smtp.gransy.com:587,smtp.gransy.com:25,firemni.gransy.com:587;%EMAILADDRESS%
hotmail.co.il;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
gmx.tm;mail.gmx.com:465;%EMAILADDRESS%
hotmail.cz;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
hotmail.co.in;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
hotmail.lt;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
husk-mig.dk;smtp.jubii.dk:465;%EMAILADDRESS%
hilarious.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
hotmail.es;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
ipax.at;mail.ipax.at:465,pma.k000213c.ipax.at:587,pma.k001019b.ipax.at:465,mail.ipax.at:587;%EMAILADDRESS%
infile.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
info.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
icloud.com;smtp.mail.me.com:587,smtp.me.com:465,p34-smtp.mail.me.com:587,p12-smtp.mail.me.com:587;%EMAILADDRESS%
illinois.usa.com;smtp.mail.com:465;%EMAILADDRESS%
inbound.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
io.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
kittymail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
italymail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
kl.gunmanet.ne.jp;kl.wind.ne.jp:587;%EMAILADDRESS%
jubiimail.dk;smtp.jubii.dk:465;%EMAILADDRESS%
keromail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
iversen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
list.ru;smtp.mail.ru:465,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
kabelmail.de;smtp.vodafonemail.de:465,smtp.kabelmail.de:465,smtp.kabelmail.de:587;%EMAILADDRESS%
live.in;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
kundenserver.de;smtp.1und1.de:465,smtp.1und1.de:587;%EMAILADDRESS%
live.com.au;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
mad.scientist.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
live.be;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
live.jp;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
loveable.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
me.com;smtp.mail.me.com:587,smtp.me.com:465,p34-smtp.mail.me.com:587,p12-smtp.mail.me.com:587;%EMAILADDRESS%
mebtel.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
m4.cty-net.ne.jp;smtps.cty-net.ne.jp:465,www1.cty-net.ne.jp:587;%EMAILADDRESS%
mail.org;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
monarchy.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
mail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
mx1.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
musling.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
neuf.fr;smtp.sfr.fr:465;%EMAILADDRESS%
null.net;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
mx2.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
on.nl;smtp.kpnmail.nl:465,smtp.kpnmail.nl:587;%EMAILADDRESS%
mx82.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
outlook.com.br;smtp.office365.com:587;%EMAILADDRESS%
onsbrabantnet.nl;smtp.kpnmail.nl:465,smtp.kpnmail.nl:587;%EMAILADDRESS%
onsnet.nu;smtp.kpnmail.nl:465,smtp.kpnmail.nl:587;%EMAILADDRESS%
onet.pl;smtp.poczta.onet.pl:465;%EMAILADDRESS%
opoczta.pl;smtp.poczta.onet.pl:465,smtp.poczta.onet.pl:587;%EMAILADDRESS%
petersen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
outlook.in;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
